a_hat,b_hat,sigma1_hat,nll,success,case,df
0.9976829564831512,1.1578048708993458,0.8159879566126028,182.2592819045537,True,"a=1, b=0.9, s1=1",
1.010922631012534,0.5924877781049082,0.9204321157444761,192.4361560351725,True,"a=1, b=0.9, s1=1",
0.9981434643467495,0.9918662695366153,0.7178401604360982,175.56832483815836,True,"a=1, b=0.9, s1=1",
0.995550183764577,1.2697708537435932,0.9113446380949896,190.72129447117314,True,"a=1, b=0.9, s1=1",
0.9998083483552065,0.8823623737571309,1.0529121734255036,187.70539419375152,True,"a=1, b=0.9, s1=1",
0.9965973183355026,0.9276037129188787,1.2378586414144288,203.99925877998606,True,"a=1, b=0.9, s1=1",
1.0069896243963545,0.6808010523382158,1.1214262812419764,199.62472287064332,True,"a=1, b=0.9, s1=1",
0.9954204247759751,1.1871611490231861,0.9194063697951418,185.2739088226997,True,"a=1, b=0.9, s1=1",
0.9953909903567134,1.102836339219264,1.109780854179539,193.44960349198362,True,"a=1, b=0.9, s1=1",
0.9951372906979568,1.0298383453324291,0.6478796904802204,181.32340791762266,True,"a=1, b=0.9, s1=1",
0.995505192311348,1.2041152830737145,0.924405620693962,185.69361534126028,True,"a=1, b=0.9, s1=1",
1.0004961959240175,0.9111030339618712,0.8375354583045478,193.22518271062984,True,"a=1, b=0.9, s1=1",
1.0000465781007748,0.8819470736981359,0.8063935717504255,184.15189237923408,True,"a=1, b=0.9, s1=1",
1.0011599900731156,0.852332723249731,0.9515856380132536,189.5897339660614,True,"a=1, b=0.9, s1=1",
0.9965303089661238,0.9808887180248957,1.0425860228048254,197.2601266217151,True,"a=1, b=0.9, s1=1",
0.9936883682718907,1.136925917268325,0.9681395721314013,191.07656924151587,True,"a=1, b=0.9, s1=1",
0.9933885452149029,1.0698384702534898,1.1233121472199314,193.15199697408752,True,"a=1, b=0.9, s1=1",
1.0048244493452159,0.6818065814454733,0.7850621372484217,180.46421981275043,True,"a=1, b=0.9, s1=1",
0.9996310755675337,0.8738328846218596,0.7373856608033059,175.46290643831426,True,"a=1, b=0.9, s1=1",
1.0033476686456606,0.8535296188345322,1.2179229399800926,202.94648266255118,True,"a=1, b=0.9, s1=1",
0.9997106991852702,0.8477658380637377,1.1549917412141446,196.81000936269137,True,"a=1, b=0.9, s1=1",
1.0019118108325489,0.8233176763038973,1.1627738910973773,200.44784102845546,True,"a=1, b=0.9, s1=1",
0.9994731372095748,0.9468228894080551,0.7132586326443683,178.73242202630956,True,"a=1, b=0.9, s1=1",
1.0026186292313433,0.7342406786329279,0.8290573809952954,182.28171804015153,True,"a=1, b=0.9, s1=1",
0.9948435067513061,1.072964814531818,0.8812892988910396,187.90871311559974,True,"a=1, b=0.9, s1=1",
0.9966100913948928,1.237823028723015,0.9384551666664546,184.6746235481491,True,"a=1, b=0.9, s1=1",
0.9980142985378561,0.9948624066825912,1.0526386429829089,189.3396459794006,True,"a=1, b=0.9, s1=1",
1.0041446904937026,0.7596540993352228,1.0458194660206068,193.76549439677854,True,"a=1, b=0.9, s1=1",
1.0004435144498034,0.8415147404260751,1.0262016873232018,190.52429870016277,True,"a=1, b=0.9, s1=1",
1.0034659001857504,0.8212491824588873,0.9867305553932115,182.41363077115884,True,"a=1, b=0.9, s1=1",
0.99880947969538,1.1090931440069696,0.8331501255040793,184.59851210115923,True,"a=1, b=0.9, s1=1",
1.0016900405272549,0.7907374142172614,0.9681282053631076,192.19910969880644,True,"a=1, b=0.9, s1=1",
1.0055863264147515,0.6603306855841541,0.958357481080461,192.8361647299402,True,"a=1, b=0.9, s1=1",
0.99719810210873,0.7819174239326011,1.031334898425651,189.65370462087608,True,"a=1, b=0.9, s1=1",
1.004135083664519,0.7275026276152224,0.750201139016868,180.0405257905419,True,"a=1, b=0.9, s1=1",
0.9994992360507895,0.9784857026451423,0.8157407862389782,181.54849252344223,True,"a=1, b=0.9, s1=1",
1.001599240806936,0.7874967444475901,0.8440482990114617,187.23423629179916,True,"a=1, b=0.9, s1=1",
